Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0805_2012Metric",494.420357,218.440000,90.000000,bottom
"C2","10u","C_0805_2012Metric",499.066357,218.440000,90.000000,bottom
"C3","27p","C_0402_1005Metric",501.828357,215.068000,180.000000,bottom
"C4","27p","C_0402_1005Metric",505.176357,212.528000,180.000000,bottom
"C5","100n","C_0402_1005Metric",527.486357,219.075000,90.000000,bottom
"C6","100n","C_0402_1005Metric",513.980357,219.710000,90.000000,bottom
"C7","100n","C_0402_1005Metric",512.964357,219.710000,90.000000,bottom
"C8","1u","C_0402_1005Metric",511.948357,219.710000,90.000000,bottom
"C9","100n","C_0402_1005Metric",509.916357,219.710000,90.000000,bottom
"C10","1u","C_0402_1005Metric",510.932357,219.710000,90.000000,bottom
"C11","100n","C_0402_1005Metric",508.900357,219.710000,90.000000,bottom
"C12","100n","C_0402_1005Metric",507.884357,219.710000,90.000000,bottom
"C13","100n","C_0402_1005Metric",506.868357,219.710000,90.000000,bottom
"C14","100n","C_0402_1005Metric",505.852357,219.710000,90.000000,bottom
"C15","100n","C_0402_1005Metric",504.836357,219.710000,90.000000,bottom
"C16","100n","C_0402_1005Metric",503.820357,219.710000,90.000000,bottom
"C17","10u","C_0805_2012Metric",496.780357,218.440000,90.000000,bottom
"J1","AudioJack3","Jack_3.5mm_PJ320D_Horizontal",570.000000,214.569000,-90.000000,bottom
"J2","AudioJack3","Jack_3.5mm_PJ320D_Horizontal",557.000000,214.569000,-90.000000,bottom
"J3","AudioJack3","Jack_3.5mm_PJ320D_Horizontal",544.000000,214.569000,-90.000000,bottom
"J4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",532.820357,219.964000,90.000000,bottom
"R1","1k","C_0402_1005Metric",536.078357,219.710000,0.000000,bottom
"R2","DNF","C_0402_1005Metric",536.106357,218.650000,180.000000,bottom
"R3","27","C_0402_1005Metric",516.012357,219.710000,-90.000000,bottom
"R4","27","C_0402_1005Metric",514.996357,219.710000,-90.000000,bottom
"R5","1k","C_0402_1005Metric",501.828357,216.068000,0.000000,bottom
"R6","5.1k","R_0402_1005Metric",492.134357,218.440000,0.000000,bottom
"R7","5.1k","R_0402_1005Metric",492.132357,219.456000,0.000000,bottom
"R8","27","C_0402_1005Metric",509.662357,213.614000,0.000000,bottom
"R9","27","C_0402_1005Metric",509.662357,214.692000,0.000000,bottom
"SW1","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",395.000000,214.000000,180.000000,bottom
"SW2","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",413.000000,214.000000,180.000000,bottom
"SW3","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",431.000000,214.000000,180.000000,bottom
"SW4","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",449.000000,214.000000,180.000000,bottom
"SW5","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",422.000000,187.000000,180.000000,bottom
"SW6","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",449.000000,183.000000,180.000000,bottom
"SW7","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",473.000000,166.000000,180.000000,bottom
"SW8","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_30mm_reversible",487.000000,113.000000,180.000000,bottom
"SW9","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",501.000000,182.850000,180.000000,bottom
"SW10","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",528.000000,192.850000,180.000000,bottom
"SW11","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",501.000000,155.850000,180.000000,bottom
"SW12","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",528.000000,166.000000,180.000000,bottom
"SW13","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",555.000000,192.850000,180.000000,bottom
"SW14","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",582.000000,184.850000,180.000000,bottom
"SW15","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",555.000000,165.850000,180.000000,bottom
"SW16","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",582.000000,157.850000,180.000000,bottom
"SW17","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",516.000000,130.000000,180.000000,bottom
"SW18","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",395.000000,179.000000,180.000000,bottom
"U1","AMS1117-3.3_SOT223","SOT-223-3_TabPin2",495.312357,212.000000,0.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",531.506357,214.884000,180.000000,bottom
"U3","RP2040","RP2040-QFN-56",516.769357,214.381000,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",484.876357,223.162500,0.000000,bottom
"USB2","USB_A","USB-A-SMD_C42591",586.000000,216.408000,0.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_3225-4Pin_3.2x2.5mm",505.260357,214.972000,180.000000,bottom
