Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0805_2012Metric",138.000000,-41.000000,180.000000,bottom
"C2","10u","C_0805_2012Metric",127.200000,-45.435000,180.000000,bottom
"C3","27p","C_0402_1005Metric",133.000000,-64.435000,0.000000,bottom
"C4","27p","C_0402_1005Metric",137.600000,-66.855000,90.000000,bottom
"C5","100n","C_0402_1005Metric",142.000000,-49.000000,90.000000,bottom
"C6","100n","C_0402_1005Metric",131.900000,-52.535000,90.000000,bottom
"C7","100n","C_0402_1005Metric",130.884000,-52.535000,90.000000,bottom
"C8","1u","C_0402_1005Metric",129.868000,-52.535000,90.000000,bottom
"C9","100n","C_0402_1005Metric",127.820000,-50.855000,180.000000,bottom
"C10","1u","C_0402_1005Metric",127.820000,-49.839000,180.000000,bottom
"C11","100n","C_0402_1005Metric",127.820000,-51.871000,180.000000,bottom
"C12","100n","C_0402_1005Metric",127.820000,-52.887000,180.000000,bottom
"C13","100n","C_0402_1005Metric",127.820000,-53.903000,180.000000,bottom
"C14","100n","C_0402_1005Metric",127.820000,-54.919000,180.000000,bottom
"C15","100n","C_0402_1005Metric",127.820000,-55.935000,180.000000,bottom
"C16","100n","C_0402_1005Metric",127.820000,-56.951000,180.000000,bottom
"C17","10u","C_0805_2012Metric",127.200000,-47.721000,180.000000,bottom
"J1","AudioJack3","Jack_3.5mm_PJ320D_Horizontal",227.000000,-41.431000,-90.000000,bottom
"J2","AudioJack3","Jack_3.5mm_PJ320D_Horizontal",214.000000,-41.431000,-90.000000,bottom
"J3","AudioJack3","Jack_3.5mm_PJ320D_Horizontal",201.000000,-41.431000,-90.000000,bottom
"R1","1k","C_0402_1005Metric",152.950000,-49.000000,90.000000,bottom
"R2","27","C_0402_1005Metric",133.916000,-52.535000,-90.000000,bottom
"R3","27","C_0402_1005Metric",132.900000,-52.535000,-90.000000,bottom
"R4","1k","C_0402_1005Metric",133.000000,-63.335000,180.000000,bottom
"R5","5.1k","R_0402_1005Metric",146.800000,-43.383750,-90.000000,bottom
"R6","5.1k","R_0402_1005Metric",144.600000,-43.600000,-90.000000,bottom
"SW1","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",184.400000,-37.750000,180.000000,bottom
"SW2","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",52.000000,-42.000000,180.000000,bottom
"SW3","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",70.000000,-42.000000,180.000000,bottom
"SW4","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",88.000000,-42.000000,180.000000,bottom
"SW5","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",106.000000,-42.000000,180.000000,bottom
"SW6","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",74.000000,-88.059999,170.000000,bottom
"SW7","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",92.000000,-91.000000,170.000000,bottom
"SW8","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",110.000000,-94.000000,170.000000,bottom
"SW9","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_reversible",95.000000,-73.000000,170.000000,bottom
"SW10","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",158.000000,-73.150000,180.000000,bottom
"SW11","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",185.000000,-63.150000,180.000000,bottom
"SW12","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",212.000000,-63.150000,180.000000,bottom
"SW13","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",239.000000,-71.150000,180.000000,bottom
"SW14","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",158.000000,-100.150000,180.000000,bottom
"SW15","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",185.000000,-90.000000,180.000000,bottom
"SW16","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",212.000000,-90.150000,180.000000,bottom
"SW17","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",239.000000,-98.150000,180.000000,bottom
"SW18","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_24mm_reversible",173.000000,-126.000000,180.000000,bottom
"SW19","MX_Switch","SW_Hotswap_Kailh_Choc_V1V2_1.00u_30mm_reversible",131.000000,-123.000000,180.000000,bottom
"U1","AMS1117-3.3_SOT223","SOT-223-3_TabPin2",133.800000,-46.635000,180.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",147.400000,-51.400000,180.000000,bottom
"U3","RP2040","RP2040-QFN-56",134.000000,-58.460000,180.000000,bottom
"U4","USBLC6-2SC6","SOT-23-6",141.800000,-45.000000,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",145.500000,-32.937500,0.000000,bottom
"USB2","USB_A","USB-A-SMD_C42591",243.000000,-39.592000,0.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_3225-4Pin_3.2x2.5mm",134.600000,-66.935000,180.000000,bottom
